Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
123,Broadcom,AVGO,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,5,yes,no,no,no,no,20000,267473,33203,21,11495,70.7,73249,Hock E. Tan,U.S.,San Jose,CA,www.broadcom.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",375688,8/2/2023
124,CarMax,KMX,Retailing,"Automotive Retailing, Services",yes,no,no,yes,50,yes,no,no,yes,yes,32647,10158,33197,65.2,1151,54.1,26338,William D. Nash,U.S.,Richmond,VA,www.carmax.com,Public,"Figures are for fiscal year ended Feb. 28, 2023. Market value as of July 17, 2023.",13241,8/2/2023
125,Starbucks,SBUX,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,-5,no,yes,no,yes,no,402000,119677,32250,11,3282,-21.9,27978,Laxman Narasimhan,U.S.,Seattle,WA,www.starbucks.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",115706,8/2/2023
126,Molina Healthcare,MOH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,-1,no,yes,no,no,no,15000,15586,31974,15.1,792,20.2,12314,Joseph M. Zubretsky,U.S.,Long Beach,CA,www.molinahealthcare.com,Public,"Market value as of July 17, 2023.",17485,8/2/2023
127,Uber Technologies,UBER,Technology,Internet Services and Retailing,no,no,no,yes,83,yes,no,no,no,no,32800,63840,31877,82.6,-9141,,32109,Dara Khosrowshahi,U.S.,San Francisco,CA,www.uber.com,Public,"Market value as of July 17, 2023.",92104,8/2/2023
128,Philip Morris International,PM,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,-18,no,yes,no,yes,no,79800,150946,31762,1.1,9048,-0.7,61681,Jacek Olczak,U.S.,Stamford,CT,www.pmi.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",153590,8/2/2023
129,Netflix,NFLX,Media,Entertainment,yes,no,no,yes,-14,no,yes,no,yes,no,12800,153858,31616,6.5,4492,-12.2,48595,Ted Sarandos/Gregory K. Peters,U.S.,Los Gatos,CA,www.netflix.com,Public,"Market value as of July 17, 2023.",200066,8/2/2023
130,NRG Energy,NRG,Energy,Energy,yes,no,no,no,3,yes,no,no,no,no,6603,7965,31543,16.9,1221,-44.2,29146,Mauricio Gutierrez,U.S.,Houston,TX,www.nrg.com,Public,"Market value as of July 17, 2023.",8369,8/2/2023
131,Mondelez International,MDLZ,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-10,no,yes,no,yes,no,91000,95050,31496,9.7,2717,-36.8,71161,Dirk Van de Put,U.S.,Chicago,IL,www.mondelezinternational.com,Public,"Market value as of July 17, 2023.",97972,8/2/2023
132,Danaher,DHR,Health Care,Medical Products and Equipment,yes,no,no,yes,-14,no,yes,no,yes,no,80000,183764,31471,6.9,7209,12.1,84350,Rainer M. Blair,U.S.,Washington,DC,www.danaher.com,Public,"Market value as of July 17, 2023.",175443,8/2/2023
133,Salesforce,CRM,Technology,Computer Software,yes,yes,no,yes,3,yes,no,no,no,yes,79390,199780,31352,18.3,208,-85.6,98849,Marc R. Benioff,U.S.,San Francisco,CA,www.salesforce.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",222072,8/2/2023
134,Paramount Global,PARA,Media,Entertainment,yes,no,no,yes,-18,no,yes,no,yes,no,27400,14657,31331,5.9,1104,-75.7,58393,Robert M. Bakish,U.S.,New York,NY,www.paramount.com,Public,"Includes revenues from discontinued operations. Market value as of July 17, 2023.",10108,8/2/2023
135,CBRE Group,CBRE,Financials,Real estate,yes,no,no,yes,-9,no,yes,no,no,no,115000,22563,30828,11.1,1407,-23.4,20513,Robert E. Sulentic,U.S.,Dallas,TX,www.cbre.com,Public,"Market value as of March 31, 2023.",22563,6/5/2023
136,Micron Technology,MU,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-9,no,yes,no,no,no,48000,66036,30758,11,8687,48.2,66283,Sanjay Mehrotra,U.S.,Boise,ID,www.micron.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",66036,6/5/2023
137,Visa,V,Business Services,Financial Data Services,yes,no,no,yes,10,yes,no,no,no,yes,26500,475307,29310,21.6,14957,21.5,85501,Ryan McInerney,U.S.,San Francisco,CA,www.visa.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",475307,6/5/2023
138,Southern,SO,Energy,Utilities: Gas and Electric,yes,no,no,yes,15,yes,no,no,no,no,27562,75948,29279,26.7,3524,47.3,134891,Christopher C. Womack,U.S.,Atlanta,GA,www.southerncompany.com,Public,"Market value as of March 31, 2023.",75948,6/5/2023
139,United Natural Foods,UNFI,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,-7,no,yes,no,no,no,30300,1565,28928,7.2,248,66.4,7628,Sandy Douglas,U.S.,Providence,RI,www.unfi.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",1565,6/5/2023
140,Paccar,PCAR,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,11,yes,no,no,no,no,31100,38251,28820,22.5,3012,62.6,33276,R. Preston Feight,U.S.,Bellevue,WA,www.paccar.com,Public,"Market value as of March 31, 2023.",38251,6/5/2023
141,Duke Energy,DUK,Energy,Utilities: Gas and Electric,yes,no,yes,yes,4,yes,no,no,no,no,27859,74344,28784,16.6,2550,-34.7,178086,Lynn J. Good,U.S.,Charlotte,NC,www.duke-energy.com,Public,"Includes revenues from discontinued operations. Excise taxes have been deducted. Market value as of March 31, 2023.",74344,6/5/2023
142,Eli Lilly,LLY,Health Care,Pharmaceuticals,yes,no,no,yes,-20,no,yes,no,no,no,39000,326351,28541,0.8,6245,11.9,49490,David A. Ricks,U.S.,Indianapolis,IN,www.lilly.com,Public,"Market value as of March 31, 2023.",326351,6/5/2023
143,Hewlett Packard Enterprise,HPE,Technology,"Computers, Office Equipment",yes,no,no,no,-20,no,yes,no,no,yes,60200,20643,28496,2.6,868,-74.7,57123,Antonio F. Neri,U.S.,Spring,TX,www.hpe.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",20643,6/5/2023
144,Dollar Tree,DLTR,Retailing,Specialty Retailers: Other,yes,no,no,yes,-7,no,yes,no,no,no,136287,31757,28332,7.6,1615,21.7,23022,Richard W. Dreiling,U.S.,Chesapeake,VA,www.dollartree.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",31757,6/5/2023
145,Lithia Motors,LAD,Retailing,"Automotive Retailing, Services",yes,no,no,yes,13,yes,no,no,no,no,21875,6337,28188,23.5,1251,18,15007,Bryan B. DeBoer,U.S.,Medford,OR,investors.lithiadriveway.com/,Public,"Market value as of March 31, 2023.",6337,6/5/2023
146,Cummins,CMI,Industrials,Industrial Machinery,yes,no,yes,yes,3,yes,no,no,no,no,73600,33811,28074,16.9,2151,0.9,30299,Jennifer Rumsey,U.S.,Columbus,IN,www.cummins.com,Public,"Acquired Meritor (2021 rank: 710), Aug. 3, 2022. Market value as of March 31, 2023.",33811,6/5/2023
147,Penske Automotive Group,PAG,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-5,no,yes,no,no,no,26816,9795,27815,8.8,1380,16.2,14115,Roger S. Penske,U.S.,Bloomfield Hills,MI,www.penskeautomotive.com,Public,"Market value as of March 31, 2023.",9795,6/5/2023
148,PayPal Holdings,PYPL,Business Services,Financial Data Services,yes,no,no,no,-5,no,yes,no,no,no,29900,85917,27518,8.5,2419,-42,78717,Daniel H. Schulman,U.S.,San Jose,CA,www.paypal.com,Public,"Market value as of March 31, 2023.",85917,6/5/2023
149,U.S. Bancorp,USB,Financials,Commercial Banks,yes,no,no,yes,1,yes,no,no,no,no,76646,55221,27401,15.5,5825,-26.8,674805,Andrew J. Cecere,U.S.,Minneapolis,MN,www.usbank.com,Public,"Market value as of March 31, 2023.",55221,6/5/2023
150,Gilead Sciences,GILD,Health Care,Pharmaceuticals,yes,no,no,yes,-21,no,yes,no,no,no,17000,103614,27281,-0.1,4592,-26.2,63171,Daniel P. O&#039;Day,U.S.,Foster City,CA,www.gilead.com,Public,"Market value as of March 31, 2023.",103614,6/5/2023
151,AutoNation,AN,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-10,no,yes,no,no,no,23600,6301,26985,4.4,1377,0.3,10060,Michael M. Manley,U.S.,Fort Lauderdale,FL,www.autonation.com,Public,"Market value as of March 31, 2023.",6301,6/5/2023
152,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,-18,no,yes,no,no,yes,26196,686092,26974,0.2,4368,-55.2,41182,Jensen Huang,U.S.,Santa Clara,CA,www.nvidia.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",686092,6/5/2023
153,Kraft Heinz,KHC,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-14,no,yes,no,no,no,37000,47448,26485,1.7,2363,133.5,90513,Miguel Patricio,U.S.,Chicago,IL,www.kraftheinzcompany.com,Public,"Market value as of March 31, 2023.",47448,6/5/2023
154,Amgen,AMGN,Health Care,Pharmaceuticals,yes,no,no,yes,-14,no,yes,no,no,no,25200,129089,26323,1.3,6552,11.2,65121,Robert A. Bradway,U.S.,Thousand Oaks,CA,www.amgen.com,Public,"Market value as of March 31, 2023.",129089,6/5/2023
155,Applied Materials,AMAT,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,1,yes,no,no,no,no,33000,103806,25785,11.8,6525,10.8,26726,Gary E. Dickerson,U.S.,Santa Clara,CA,www.appliedmaterials.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",103806,6/5/2023
156,EOG Resources,EOG,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,37,yes,no,no,no,no,2850,67371,25702,37.9,7759,66.4,41371,Ezra Y. Yacob,U.S.,Houston,TX,www.eogresources.com,Public,"Market value as of March 31, 2023.",67371,6/5/2023
157,Truist Financial,TFC,Financials,Commercial Banks,yes,no,no,yes,-2,no,yes,no,no,no,53987,45290,25356,9.9,6260,-2.8,555255,William H. Rogers Jr.,U.S.,Charlotte,NC,www.truist.com,Public,"Market value as of March 31, 2023.",45290,6/5/2023
158,Macy's,M,Retailing,General Merchandisers,yes,no,no,yes,-14,no,yes,no,no,no,94570,4747,25305,0.1,1177,-17.7,16866,Jeffrey Gennette,U.S.,New York,NY,www.macysinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",4747,6/5/2023
159,Union Pacific,UNP,Transportation,Railroads,yes,no,no,yes,4,yes,no,no,no,no,33179,123146,24875,14.1,6998,7.3,65449,Jim Vena,U.S.,Omaha,NE,www.up.com,Public,"Market value as of March 31, 2023.",123146,6/5/2023
160,C.H. Robinson Worldwide,CHRW,Transportation,Transportation and Logistics,yes,no,no,yes,-6,no,yes,no,no,no,17399,11417,24697,6.9,941,11.4,5955,Scott P. Anderson,U.S.,Eden Prairie,MN,www.chrobinson.com,Public,"Market value as of March 31, 2023.",11417,6/5/2023
161,Rite Aid,RAD,Food & Drug Stores,Food and Drug Stores,no,no,yes,yes,-13,no,yes,no,no,no,53000,127,24568,2.2,-539,,8529,Elizabeth Burr,U.S.,Philadelphia,PA,www.riteaid.com,Public,"Figures are for fiscal year ended Feb. 28, 2022. Market value as of March 31, 2023.",127,6/5/2023
162,Constellation Energy,CEG,Energy,Energy,no,no,no,,,,,yes,no,no,13370,25712,24440,,-160,,46909,Joseph Dominguez,U.S.,Baltimore,MD,www.constellationenergy.com,Public,"Spun off from Exelon (2022 rank: 218), Feb. 1, 2022. Market value as of March 31, 2023.",25712,6/5/2023
163,Avnet,AVT,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,17,yes,no,no,no,no,15300,4130,24311,24.4,692,258.5,10389,Philip R. Gallagher,U.S.,Phoenix,AZ,www.avnet.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",4130,6/5/2023
164,Pioneer Natural Resources,PXD,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,84,yes,no,no,no,no,2076,47997,24294,65.9,7845,270.4,35740,Scott D. Sheffield,U.S.,Irving,TX,www.pxd.com,Public,"Market value as of March 31, 2023.",47997,6/5/2023
165,Southwest Airlines,LUV,Transportation,Airlines,yes,no,no,yes,69,yes,no,no,no,no,66656,19338,23814,50.8,539,-44.8,35369,Robert E. Jordan,U.S.,Dallas,TX,www.southwest.com,Public,"Market value as of March 31, 2023.",19338,6/5/2023
166,CDW,CDW,Technology,Information Technology Services,yes,no,yes,yes,,,,no,no,no,15100,26337,23749,14.1,1115,12.7,13132,Christine A. Leahy,U.S.,Lincolnshire,IL,www.cdw.com,Public,"Market value as of March 31, 2023.",26337,6/5/2023
167,Advanced Micro Devices,AMD,Technology,Semiconductors and Other Electronic Components,yes,no,yes,yes,59,yes,no,no,no,no,25000,157738,23601,43.6,1320,-58.3,67580,Lisa T. Su,U.S.,Santa Clara,CA,www.amd.com,Public,"Market value as of March 31, 2023.",157738,6/5/2023
168,PNC Financial Services Group,PNC,Financials,Commercial Banks,yes,no,no,yes,10,yes,no,no,no,no,60720,50800,23542,19.5,6041,6.5,557263,William S. Demchak,U.S.,Pittsburgh,PA,www.pnc.com,Public,"Market value as of March 31, 2023.",50800,6/5/2023
169,McDonald's,MCD,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,-17,no,yes,no,no,no,150000,204534,23183,-0.2,6177,-18.1,50436,Christopher J. Kempczinski,U.S.,Chicago,IL,www.investor.mcdonalds.com,Public,"Market value as of March 31, 2023.",204534,6/5/2023
170,Cleveland-Cliffs,CLF,Materials,Metals,yes,no,no,yes,1,yes,no,no,no,no,27000,9436,22989,12.4,1335,-55.3,18755,C. Lourenco Goncalves,U.S.,Cleveland,OH,www.clevelandcliffs.com,Public,"Market value as of March 31, 2023.",9436,6/5/2023
